Rank	Port	Volume 2015	Volume 2014	Volume 2013	Volume 2012	Volume 2011
461856	city_name_130313, country_name_13894	17.32	8.37	15.36	23.53	31.22
27224	city_name_112526, country_name_11288	8.44	30.3	26.67	24.79	20.99
237252	city_name_157943, country_name_12656	15.6	6.58	20.46	12.73	18.91
260360	city_name_179452, country_name_10944	21.41	25.97	5.64	34.68	4.62
360180	city_name_183770, country_name_15941	33.17	7.4	15.74	32.69	15.26
95213	city_name_161566, country_name_10699	18.56	28.67	28.97	31.77	4.26
13305	city_name_189255, country_name_13966	16.8	26.45	4.49	20.21	1.43
216651	city_name_185185, country_name_12154	25.25	19.47	8.28	28.12	26.48
454995	city_name_121184, country_name_17966	6.73	4.85	3.7	13.59	5.68
90600	city_name_150715, country_name_18959	5.78	16.94	33.81	9.05	27.14
157383	city_name_109133, country_name_10963	22.86	16.39	34.88	1.83	15.84
66407	city_name_141947, country_name_14568	13.16	27.25	17.75	7.01	20.48
76762	city_name_176232, country_name_19546	24.32	8.97	17.23	17.17	23.19
263431	city_name_166711, country_name_19110	24.68	26.22	26.72	11.11	31.79
172054	city_name_143664, country_name_19051	1.35	19.46	11.8	11.94	26.0
411383	city_name_149538, country_name_13976	1.23	18.61	3.98	30.36	9.21
334172	city_name_184379, country_name_14311	13.3	23.86	16.47	10.94	11.3
469012	city_name_163169, country_name_12710	7.29	7.11	1.21	6.27	28.0
196430	city_name_189611, country_name_15401	18.83	33.48	33.26	14.08	27.13
412481	city_name_130577, country_name_18449	27.84	26.99	25.76	15.62	4.85
275046	city_name_164610, country_name_17889	15.97	8.44	22.51	20.72	20.49
95635	city_name_132389, country_name_18121	34.33	3.46	13.0	29.84	24.18
149319	city_name_154259, country_name_15932	19.02	20.8	35.98	21.82	11.16
363640	city_name_119280, country_name_19556	17.21	32.24	28.41	11.13	22.27
415687	city_name_171265, country_name_11979	15.56	21.51	8.0	25.82	17.25
275400	city_name_184564, country_name_17255	26.93	16.17	33.38	26.88	26.51
243015	city_name_141199, country_name_14539	5.04	22.47	23.82	18.06	15.3
394506	city_name_167903, country_name_17971	19.95	13.86	32.67	31.01	18.86
28184	city_name_185895, country_name_13690	19.09	29.77	30.88	18.66	28.48
203663	city_name_162654, country_name_10491	7.94	7.99	30.64	17.9	11.0
62917	city_name_141753, country_name_16257	10.79	35.85	2.11	27.81	14.76
286751	city_name_131319, country_name_19269	32.2	25.32	3.11	31.52	20.73
375778	city_name_184244, country_name_12035	15.87	2.14	2.92	13.32	33.42
125654	city_name_146590, country_name_18797	32.87	34.96	24.29	9.96	32.5
304621	city_name_193704, country_name_12368	11.56	18.71	3.41	5.61	3.12
128777	city_name_159605, country_name_14979	7.2	18.12	11.28	29.88	7.25
243851	city_name_139330, country_name_13844	4.16	27.45	27.89	20.24	29.8
132418	city_name_125111, country_name_11783	6.61	3.15	5.48	22.39	3.33
194307	city_name_165753, country_name_15087	22.1	22.65	9.61	9.21	11.97
100167	city_name_177179, country_name_13041	13.99	4.05	34.16	11.04	35.3
88459	city_name_150559, country_name_13903	11.32	1.61	34.55	30.9	3.45
59537	city_name_183877, country_name_15212	8.1	23.93	15.69	28.96	28.91
142168	city_name_151377, country_name_18656	4.33	7.79	5.81	10.21	16.17
355760	city_name_114173, country_name_18811	4.11	3.19	6.43	21.18	1.39
499672	city_name_158648, country_name_13635	31.88	4.31	4.33	5.19	32.38
323916	city_name_123607, country_name_18142	25.71	29.66	23.31	16.84	13.53
159408	city_name_143936, country_name_12671	19.23	34.28	9.48	6.68	3.2
481006	city_name_152985, country_name_15444	15.18	26.42	21.4	27.79	33.01
236047	city_name_142319, country_name_14681	24.68	10.28	11.93	33.54	12.41
64315	city_name_113919, country_name_12688	13.72	3.23	13.12	24.0	29.93
23056	city_name_100650, country_name_18244	20.5	2.08	17.43	12.17	23.61
165569	city_name_160922, country_name_17037	2.0	13.41	19.2	9.26	31.15
185862	city_name_161254, country_name_17123	34.08	1.12	17.15	24.27	3.84
499237	city_name_191853, country_name_10966	16.66	2.13	7.19	22.8	11.44
384041	city_name_166485, country_name_17949	32.73	19.11	10.35	15.64	19.03
9717	city_name_125517, country_name_17730	10.79	7.18	22.43	15.42	23.15
59728	city_name_199684, country_name_11259	17.46	5.39	9.87	19.04	27.1
335473	city_name_175998, country_name_13597	2.8	11.81	23.71	21.73	21.9
311055	city_name_136727, country_name_16237	21.27	31.65	35.41	26.63	9.68
11388	city_name_156113, country_name_18245	14.5	15.45	8.14	15.46	25.89
436148	city_name_118396, country_name_15165	32.25	7.1	2.35	6.55	24.78
444110	city_name_108590, country_name_11843	26.75	27.82	9.01	18.69	14.93
308932	city_name_164750, country_name_15339	22.35	3.78	18.14	17.49	24.95
197541	city_name_134567, country_name_13497	33.81	5.3	11.56	6.44	16.24
195893	city_name_144933, country_name_18372	35.3	32.55	5.63	10.26	27.29
329805	city_name_101566, country_name_17689	35.72	4.47	10.25	2.34	32.87
121903	city_name_157958, country_name_16913	16.17	4.53	25.58	6.71	31.11
171860	city_name_158831, country_name_12086	12.58	29.41	2.43	21.77	13.05
138984	city_name_103845, country_name_19176	18.18	29.85	4.64	32.21	4.21
361163	city_name_191135, country_name_14734	26.22	4.73	11.48	16.97	26.57
297382	city_name_143543, country_name_18624	29.11	34.52	11.94	19.63	4.42
30668	city_name_181153, country_name_14213	4.16	16.3	11.15	14.66	2.43
488427	city_name_172826, country_name_16413	17.24	27.18	27.68	7.83	1.92
392069	city_name_164529, country_name_16968	8.03	7.52	29.48	30.9	28.46
412833	city_name_157055, country_name_18632	9.46	8.15	20.26	34.73	25.92
318685	city_name_188850, country_name_11541	9.64	24.2	35.1	31.77	13.57
261113	city_name_161313, country_name_15868	5.43	13.03	12.24	20.48	29.06
294175	city_name_178544, country_name_17917	24.28	31.44	11.8	19.09	19.69
486600	city_name_170456, country_name_18887	3.96	4.42	33.26	17.47	25.89
270720	city_name_176762, country_name_15318	27.89	34.79	11.92	16.33	13.3
196140	city_name_183668, country_name_16316	4.38	11.34	5.76	21.82	13.76
496567	city_name_149806, country_name_17724	30.27	17.02	17.57	6.16	26.18
223110	city_name_151132, country_name_11980	10.9	12.07	20.09	26.19	13.25
456232	city_name_196403, country_name_14434	24.43	30.61	35.06	26.57	9.74
331248	city_name_105472, country_name_15416	20.3	17.47	34.25	29.21	26.5
143172	city_name_195656, country_name_18152	16.38	7.39	27.72	12.63	1.16
437778	city_name_149428, country_name_12195	33.29	18.49	9.57	26.64	17.72
466015	city_name_175283, country_name_15927	10.16	28.39	11.33	35.18	9.8
19531	city_name_141253, country_name_16659	12.5	21.83	19.96	17.58	11.87
425183	city_name_129717, country_name_15410	32.37	14.14	20.61	28.05	18.87
284234	city_name_126123, country_name_18566	19.14	6.93	30.67	10.68	35.61
124823	city_name_150495, country_name_16058	28.6	21.52	16.66	22.49	13.05
84619	city_name_115322, country_name_11500	5.89	12.88	19.22	17.39	15.38
57494	city_name_137961, country_name_11858	12.49	19.39	32.36	18.78	25.12
437244	city_name_174167, country_name_15993	31.15	30.62	13.58	34.56	7.44
432780	city_name_153859, country_name_16923	35.51	5.25	24.63	14.17	9.1
286299	city_name_110986, country_name_13147	26.73	21.82	2.75	28.12	13.24
349738	city_name_134758, country_name_15386	10.71	7.01	12.0	28.61	16.7
410462	city_name_197191, country_name_17550	8.59	23.51	25.28	10.24	34.43
200484	city_name_162733, country_name_18001	34.96	8.71	25.84	24.28	31.26
28873	city_name_153070, country_name_12804	24.95	13.61	23.98	20.39	28.1
169265	city_name_141918, country_name_10739	18.83	26.23	11.12	28.75	5.81
151858	city_name_195902, country_name_19701	33.99	18.52	14.08	15.27	20.97
411130	city_name_169869, country_name_10295	16.48	34.33	12.61	2.31	17.95
431101	city_name_134829, country_name_12221	10.33	22.47	2.83	13.79	31.67
410008	city_name_193160, country_name_11163	15.45	30.31	11.6	30.05	17.9
306889	city_name_131300, country_name_19441	29.06	4.03	7.08	13.62	8.22
380132	city_name_188490, country_name_10927	7.08	5.72	3.23	5.53	28.14
44224	city_name_192463, country_name_13460	11.09	30.25	25.95	30.16	2.3
322922	city_name_105371, country_name_18019	9.39	13.74	33.58	8.1	9.01
207242	city_name_102711, country_name_13898	2.95	29.31	1.03	9.45	2.39
235807	city_name_156254, country_name_10769	3.33	24.39	34.15	3.16	21.73
445822	city_name_194305, country_name_18041	27.15	10.29	21.72	30.28	2.84
311320	city_name_191985, country_name_13412	11.91	21.17	28.01	30.99	18.43
225493	city_name_170169, country_name_18629	25.8	35.1	1.14	21.97	8.49
322645	city_name_113058, country_name_12534	35.79	2.43	20.68	29.16	8.63
398502	city_name_151935, country_name_10353	24.41	8.02	16.14	27.17	10.65
211683	city_name_151784, country_name_14932	18.61	14.51	31.66	4.85	1.65
484400	city_name_168544, country_name_12732	3.95	10.88	17.28	18.34	29.45
153806	city_name_151554, country_name_13049	18.29	6.57	25.2	1.33	3.32
479188	city_name_193985, country_name_14171	23.81	21.17	16.88	22.45	20.08
453819	city_name_167754, country_name_14104	26.49	12.93	7.52	23.15	10.41
75874	city_name_109951, country_name_19603	20.36	27.54	1.11	35.34	28.1
313096	city_name_180994, country_name_19975	3.04	21.49	21.0	11.16	24.11
172499	city_name_183689, country_name_17431	5.75	1.86	31.24	7.0	16.4
357300	city_name_172816, country_name_15337	18.69	30.06	16.31	17.08	8.26
209701	city_name_147018, country_name_19069	12.01	7.57	28.19	27.72	30.78
412415	city_name_144298, country_name_17612	27.94	6.64	12.31	15.95	27.71
306320	city_name_184016, country_name_18698	23.21	20.67	10.12	30.29	20.63
265776	city_name_185315, country_name_11769	27.92	24.73	30.81	20.8	19.3
16605	city_name_110029, country_name_19859	20.54	15.68	29.78	14.99	4.49
464563	city_name_118937, country_name_18065	31.6	13.81	34.41	10.63	19.16
291479	city_name_181687, country_name_15185	10.63	28.27	8.61	6.74	21.76
91773	city_name_137465, country_name_13716	10.12	7.75	35.52	7.35	22.87
186006	city_name_175473, country_name_18551	8.64	6.77	9.77	8.96	24.95
23323	city_name_125740, country_name_12628	6.58	28.35	12.35	6.05	35.59
57314	city_name_108748, country_name_19252	23.09	33.95	30.14	14.19	20.65
116653	city_name_195605, country_name_12381	28.2	15.62	11.06	18.57	7.92
388456	city_name_110366, country_name_17113	8.71	17.23	4.4	32.82	13.08
480596	city_name_185316, country_name_18099	31.69	31.46	4.54	35.58	28.02
394135	city_name_149398, country_name_18492	30.92	24.35	16.28	17.78	22.07
396693	city_name_104987, country_name_12834	13.94	15.81	31.22	29.43	32.88
193728	city_name_165342, country_name_19885	15.47	6.8	35.16	25.82	1.02
5464	city_name_161791, country_name_17269	1.1	12.8	14.11	7.66	1.63
218954	city_name_124962, country_name_16679	8.8	16.09	34.76	5.42	22.25
100225	city_name_187456, country_name_15428	22.24	6.45	17.85	3.34	3.11
100241	city_name_112053, country_name_19266	10.17	10.43	24.61	25.76	34.47
112430	city_name_154414, country_name_15520	27.89	4.61	2.32	16.3	10.0
431196	city_name_146576, country_name_11298	11.83	16.65	14.6	10.57	24.85
128730	city_name_196970, country_name_13242	18.51	31.4	1.57	10.93	21.43
458115	city_name_186204, country_name_13669	33.86	33.38	18.29	8.69	3.77
492095	city_name_115592, country_name_12043	29.31	30.03	9.79	13.09	31.78
165299	city_name_121259, country_name_17865	28.54	29.19	26.09	31.14	17.24
372890	city_name_153843, country_name_15579	16.88	25.84	30.03	29.2	24.6
53837	city_name_138019, country_name_12506	5.26	7.28	23.16	33.69	7.34
305049	city_name_121585, country_name_19616	7.16	28.32	6.73	29.22	19.69
